Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count
Plantae,Streptophyta,Magnoliopsida,Santalales,Loranthaceae,Taxillus chinensis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,250
Plantae,Angiosperma,Magnoliopsida,Malvales,Malvaceae,Theobroma cacao,Complete,RM2+MCH,Repbase,APTEdb,RM2+MCH,294
Plantae,Streptophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium tamariscinum,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,20
Plantae,Angiosperma,Magnoliopsida,Fabales,Fabaceae,Trifolium pratense,Complete,RM2+MCH,Repbase,APTEdb,RM2+MCH,75
Plantae,Streptophyta,Magnoliopsida,Poales,Typhaceae,Typha latifolia,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,69
Plantae,Angiosperma,Magnoliopsida,Fabales,Fabaceae,Vigna angularis,Complete,RM2+MCH,,APTEdb,RM2+MCH,285
Plantae,Angiosperma,Magnoliopsida,Fabales,Fabaceae,Vigna radiata,Complete,RM2+MCH,Repbase,APTEdb,RM2+MCH,227
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma vagum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,21
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita rubescens,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,32
Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Amylostereum areolatum,Complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,27
Fungi,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Anaeromyces robustus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,18
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Aquanectria penicillioides,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,5
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria cepistipes,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,28
Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus immersus rn42,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,18
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta koolunga,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,57
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Eurotiomycetidae,Aspergillus latus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,40
Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Athelia rolfsii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,24
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Sphaerophragmiaceae,Austropuccinia psidii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,109
Fungi,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus meristosporus cbs 93173,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,24
Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,No family,Batrachochytrium salamandrivorans,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,46
Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria graminis f sp tritici,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,1073
Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus edulis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,26
Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria dothidea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,26
Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis squamosa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,13
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Cantharellus anzutake,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,140
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Circinella umbellata,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,63
Fungi,Chytridiomycota,Chytridiomycetes,Cladochytriales,Cladochytriaceae,Cladochytrium replicatum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,13
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys rosea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,1
Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum nymphaeae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,3
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus micaceus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,5
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus striatus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,57
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Cytidiella melzeri,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,66
Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe caulivora,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,6
Fungi,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Drepanopeziza brunnea f sp monogermtubi,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,2
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Earliella scabrosa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,11
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Epichloe coenophiala,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,62
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Epitheliaceae,Epithele typhae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,20
Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe necator,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,561
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriomycetidae,Exophiala sp hkrs030,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,4
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Flammula alnicola,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,7
Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Gaeumannomyces sp js464,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,40
Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gautieriaceae,Gautieria morchelliformis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,186
Fungi,Mucoromycota,Glomeromycetes,Archaeosporales,Geosiphonaceae,Geosiphon pyriformis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,23
Fungi,Ascomycota,Leotiomycetes,Helotiales,No family (unclassified Helotiales),Helotiales sp f229,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,35
Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium coralloides,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,13
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella rhossiliensis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,180
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Hortaea werneckii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,13
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha bicolor e,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,10
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha finlandica,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,35
Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium stoloniferum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,140
Fungi,Basidiomycota,Agaricomycetes,Agaricales,No family (Tricholomatineae incertae sedis),Infundibulicybe gibba,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,41
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria trichodermophora,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,38
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius indigo,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,123
Fungi,Ascomycota,Leotiomycetes,Helotiales,Leptodontidiaceae,Leptodontidium sp mpisdfrat0119,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,69
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Letharia columbiana,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,6
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Lindgomyces ingoldianus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,23
Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia elongata,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,12
Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella sp 2018w30,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,30
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor racemosus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,23
Fungi,Ascomycota,Sordariomycetes,Acetobacterales,Acetobacteraceae,Nectria sp b13,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,9
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Neoantrodia serialis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,12
Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Neopestalotiopsis rosae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,1
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Niebla homalea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,3
Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Ophiognomonia clavigignentijuglandacearum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,11
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella korrae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,17
Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula radicicola,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,8
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellopilus nigrolimitatus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,23
Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus microcarpus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,108
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus eryngii var eryngii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,35
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora ulei,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,44
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pseudopyrenochaetaceae,Pseudopyrenochaeta lycopersici,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,65
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia coronata f sp avenae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,221
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia striiformis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,237
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema domesticum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,33
Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,Rhizoclosmatium globosum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,6
Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus clarus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,40
Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus irregularis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,40
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus arrhizus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,151
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia butyracea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,93
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma podzolica,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,11
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Septoria linicola,Complete,Dfam,,,Dfam,38
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hamatocanthoscyphaceae,Stipitochalara longipes bdj,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,3
Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus discolor,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,23
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Terana coerulea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,14
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia boudieri atcc mya4762,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,52
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Tetrapyrgos nigripes,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,97
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hirschioporaceae,Trichaptum fuscoviolaceum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,14
Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber indicum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,78
Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium longisporum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,22
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phaeolaceae,Wolfiporia cocos,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,26
Fungi,Ascomycota,Dothideomycetes,No order Dothideomycetes incertae sedis,Zopfiaceae,Zopfia rhizophila cbs 20726,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,60
Plantae,Streptophyta,Pinopsida,Pinopsida,Pinidae,Larix kaempferi,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,287
Plantae,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Wurfbainia villosa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,220
Plantae,Bryophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Marchantia polymorpha subsp montivagans,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,48
Plantae,Streptophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Nemophila menziesii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,377
